response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0239,0.0000,0.0213,0.0000,0.0169,0.0001,400,0.0168
0.0245,0.0000,0.0214,0.0001,0.0172,0.0001,400,0.0165
0.0242,0.0000,0.0213,0.0000,0.0170,0.0001,400,0.0169
0.0257,0.0000,0.0214,0.0000,0.0190,0.0001,400,0.0157
0.0086,0.0000,0.0000,0.0001,0.0033,0.0001,400,0.0329
0.0052,0.0000,0.0000,0.0000,0.0036,0.0001,400,0.0367
0.0075,0.0000,0.0000,0.0013,0.0048,0.0001,400,0.0357
0.0064,0.0000,0.0000,0.0010,0.0050,0.0001,400,0.0371
0.0205,0.0000,0.0000,0.0002,0.0114,0.0000,400,0.0236
0.0314,0.0000,0.0165,0.0000,0.0119,0.0002,400,0.0132
0.0328,0.0000,0.0168,0.0001,0.0128,0.0001,400,0.0124
0.0223,0.0000,0.0000,0.0000,0.0150,0.0001,400,0.0232
0.0329,0.0000,0.0166,0.0000,0.0134,0.0001,400,0.0129
0.0229,0.0000,0.0000,0.0027,0.0136,0.0001,400,0.0232
0.0139,0.0000,0.0000,0.0014,0.0084,0.0001,400,0.0326
0.0135,0.0000,0.0000,0.0010,0.0083,0.0004,400,0.0332
0.0108,0.0000,0.0000,0.0011,0.0088,0.0001,400,0.0362
0.0069,0.0000,0.0000,0.0000,0.0055,0.0001,400,0.0404
0.0060,0.0000,0.0000,0.0000,0.0058,0.0000,400,0.0416
0.0099,0.0000,0.0000,0.0000,0.0096,0.0001,400,0.0386
0.0030,0.0000,0.0000,0.0000,0.0027,0.0001,400,0.0455
0.0096,0.0000,0.0000,0.0000,0.0094,0.0001,400,0.0391
0.0248,0.0000,0.0228,0.0044,0.0117,0.0000,400,0.0241
0.0246,0.0000,0.0000,0.0044,0.0118,0.0000,400,0.0246
0.0272,0.0000,0.0230,0.0047,0.0137,0.0005,400,0.0234
0.0270,0.0000,0.0229,0.0000,0.0138,0.0001,400,0.0242
0.0145,0.0000,0.0000,0.0000,0.0142,0.0002,400,0.0375
0.0195,0.0000,0.0000,0.0010,0.0144,0.0002,400,0.0328
0.0087,0.0000,0.0000,0.0000,0.0083,0.0001,400,0.0441
0.0085,0.0000,0.0000,0.0001,0.0081,0.0001,400,0.0446
0.0057,0.0000,0.0000,0.0001,0.0051,0.0001,400,0.0476
0.0082,0.0000,0.0000,0.0000,0.0080,0.0000,400,0.0452
0.0253,0.0000,0.0000,0.0019,0.0162,0.0000,400,0.0288
0.0212,0.0000,0.0000,0.0010,0.0163,0.0001,400,0.0331
0.0303,0.0000,0.0001,0.0156,0.0062,0.0000,400,0.0244
0.0100,0.0000,0.0000,0.0000,0.0079,0.0020,400,0.0465
0.0101,0.0000,0.0000,0.0000,0.0099,0.0001,400,0.0467
0.0330,0.0000,0.0228,0.0001,0.0086,0.0000,400,0.0239
0.0295,0.0000,0.0275,0.0042,0.0193,0.0003,400,0.0278
0.0303,0.0000,0.0276,0.0000,0.0207,0.0001,400,0.0281
0.0340,0.0000,0.0289,0.0000,0.0211,0.0003,400,0.0249
0.0171,0.0000,0.0000,0.0010,0.0158,0.0001,400,0.0419
0.0161,0.0000,0.0000,0.0003,0.0156,0.0001,400,0.0432
0.0183,0.0000,0.0000,0.0000,0.0180,0.0001,400,0.0414
0.0348,0.0000,0.0295,0.0155,0.0085,0.0028,400,0.0252
0.0133,0.0000,0.0000,0.0000,0.0100,0.0032,400,0.0470
0.0419,0.0000,0.0253,0.0229,0.0117,0.0005,400,0.0184
0.0017,0.0000,0.0000,0.0000,0.0011,0.0001,400,0.0597
0.0048,0.0000,0.0000,0.0000,0.0043,0.0000,400,0.0573
0.0036,0.0000,0.0000,0.0000,0.0033,0.0002,400,0.0585
0.0029,0.0000,0.0000,0.0000,0.0027,0.0000,400,0.0593
0.0033,0.0000,0.0000,0.0001,0.0030,0.0000,400,0.0590
0.0055,0.0000,0.0000,0.0002,0.0028,0.0002,400,0.0569
0.0013,0.0000,0.0000,0.0001,0.0008,0.0002,400,0.0614
0.0007,0.0000,0.0000,0.0000,0.0005,0.0000,400,0.0623
0.0011,0.0000,0.0000,0.0000,0.0008,0.0002,400,0.0620
0.0031,0.0000,0.0000,0.0012,0.0014,0.0001,400,0.0603
0.0018,0.0000,0.0000,0.0000,0.0010,0.0007,400,0.0631
0.0025,0.0000,0.0000,0.0001,0.0008,0.0012,400,0.0630
0.0033,0.0000,0.0000,0.0000,0.0027,0.0001,400,0.0628
0.0016,0.0000,0.0000,0.0008,0.0004,0.0003,400,0.0649
0.0202,0.0000,0.0000,0.0000,0.0098,0.0103,400,0.0473
0.0206,0.0000,0.0000,0.0000,0.0104,0.0101,400,0.0487
0.0403,0.0000,0.0284,0.0132,0.0083,0.0123,400,0.0293
